Afghanistan,33736494,602,185.7,35.7,27.9,19.1,41.1,114.1,2.4,43.5,3.5
Albania,2880703,62.6,23.2,3.8,5.8,2.9,3.6,9.7,0.4,3.9,0.3
Algeria,39871528,864.6,302.6,54.4,62,14.9,79.1,153.2,6.1,51.7,3.2
Angola,27859305,465,162.2,24.1,26.1,40.3,30.2,62.3,3.4,34.5,2.3
Antigua and Barbuda,99923,2.5,0.8,0.1,0.2,0.4,0.1,0.5,0.01,0.1,0.01
Argentina,43417765,1091.6,340.4,63.4,85.9,87.4,84.8,236,11.5,60.1,4.3
Armenia,2916950,66,25,4,5.9,4.6,3.8,9.2,0.3,3.9,0.2
Australia,23789338,802.5,235.2,44.5,65.6,47.7,152.8,142.6,10.8,34.3,3.3
Austria,8633169,229.9,71.5,14.4,16.8,26.3,24.9,36.9,5.4,10.5,0.7
Azerbaijan,9649341,217.5,75.7,12.9,18.9,20.3,16.5,29.1,1.6,13.4,0.7
Bahamas,386838,10.3,3.4,0.6,0.7,1.2,0.6,2.1,0.1,0.5,0.1
Bahrain,1371855,34.6,11.4,2.1,2.7,1.1,4,5.2,0.4,2,0.1
Bangladesh,161200886,3252,1126.8,190.7,247.9,129.8,191,636.4,16.8,226,9
Barbados,284217,7,2.6,0.4,0.6,0.6,0.2,1.5,0.1,0.4,0.01
Belarus,9489616,357.1,88.1,12.6,20.2,75,94,26.4,1.5,12.3,0.5
Belgium,11274196,274.2,85.4,18.2,21.5,27.7,26.1,45.4,5.2,13.8,0.9
Belize,359288,8.4,2.7,0.5,0.5,0.9,0.4,1.8,0.1,0.5,0.1
Benin,10575952,209.5,74.8,11.5,12.4,13.4,18.4,27,1,15.2,1
Bhutan,787386,16.8,5.4,1,1.3,0.9,1.7,2.5,0.1,1.1,0.01
Bolivia (Plurinational State of),10724705,263.1,82.1,14.7,14.7,28.5,21.9,52.4,2.2,14.5,1.1
Bosnia and Herzegovina,3535961,92.9,32.5,5.1,8.6,12,5.1,12.8,0.5,5,0.3
Botswana,2209197,50.1,18.2,2.7,3.5,4.3,3.8,6.3,0.6,3.1,0.2
Brazil,205962108,6311.6,2130,321.8,381.7,543.2,277.5,1718.8,53,289.8,15.7
Brunei Darussalam,417542,8.3,2.7,0.6,1.1,0.2,0.4,1.3,0.4,0.6,0.01
Bulgaria,7177991,166.2,62.7,8.6,16.2,11.9,10.3,25.2,1,9.4,0.5
Burkina Faso,18110624,334.3,116.8,18.4,18.6,24.3,25.9,44,1.5,25.1,1.7
Burundi,10199270,210.9,83.6,11.5,11.2,18.4,4,30.2,0.7,15.5,1
Cambodia,15517635,300.3,86.3,19.1,28.8,30.6,15.5,44.6,1.7,20.9,1.1
Cameroon,22834522,484.6,161.2,24.6,26,36,67.6,57.6,2.6,32.5,2.2
Canada,35848610,980.5,261.3,58.8,83.9,80.3,183.9,151.9,14.7,48.7,3.1
Central African Republic,4546100,96.3,36.3,5.3,5.2,8.5,4.6,13.2,0.3,6.7,0.4
Chad,14009413,261.8,86.6,13.5,13.6,20.7,27.5,33.1,1.3,19.3,1.3
Chile,17762681,477.5,149.5,27.9,40.6,51.9,26.8,102.1,4.5,24.9,1.7
China,1371220000,30649.8,8981.4,1410.9,4859.1,2154.9,3135.9,3804.6,216.8,1865.7,164
Colombia,48228697,1154.7,388.7,82.3,84.4,66.4,64.3,250.1,9.5,62.9,4.1
Comoros,777424,15.1,6.3,0.9,1,0.9,0.3,2.2,0.1,1.1,0.1
Congo,4995648,87.1,32.7,4.7,5.4,5.4,5.1,11.9,0.6,6.4,0.4
Costa Rica,4807852,112.6,38.4,7.9,8.9,9.8,6.5,19.7,0.8,6.3,0.4
Côte d'Ivoire,23108472,473.3,152.3,23.5,25.4,42.4,65.5,55.5,2.5,31.6,2.1
Croatia,4203604,108.7,35.9,5.4,11.5,13,10.1,14.2,0.9,5.5,0.3
Cuba,11461432,305.8,107,17.3,24.9,38.5,9.5,62,1.9,14.8,1.3
Cyprus,1160985,21.6,7.4,1.6,1.7,1.1,1.8,3.9,0.4,1.1,0.1
Czech Republic,10546059,259.4,92.4,14.1,23.2,23.8,22.4,35.7,2.2,14,0.8
Democratic People's Republic of Korea,25243917,519.9,140.7,25.7,67,35,64.8,82.3,2.2,32.6,3.2
Democratic Republic of the Congo,76196619,1360.8,519.5,75.5,74.2,81.7,58.2,194.1,4,105.6,7.1
Denmark,5683483,165.4,45.9,8.5,12.8,29.8,20.5,24.1,2.5,6.6,0.5
Djibouti,927414,19.1,8.1,1.1,1.3,1.4,0.5,2.7,0.1,1.2,0.1
Dominican Republic,10528394,243.5,83.7,14.9,17.3,20,10.1,52.9,1.9,14.1,1.7
Ecuador,16144368,394.7,130.5,23.1,25.4,35.9,24.2,81.5,4.1,21.7,1.6
Egypt,93778172,1988.8,522.2,118,126.6,27,317,331.3,13.4,119.1,8
El Salvador,6312478,177.9,44.8,9.3,9.1,56.9,5.5,24.7,1,7.8,0.5
Equatorial Guinea,1175389,18.1,6.3,0.9,1.2,1.7,1.5,2.2,0.2,1.2,0.1
Eritrea,,97.8,40.4,5.6,5.7,6.3,1.8,14.5,0.4,7.3,0.5
Estonia,1315407,52,13.2,1.8,2.8,13.2,11.4,3.7,0.2,1.7,0.1
Ethiopia,99873033,1983.1,837.7,106.6,106.9,132.1,55.8,292.7,7.8,139.4,9.3
Fiji,892149,15.7,5,1,1.7,0.5,0.8,2.7,0.1,1.2,0.1
Finland,5479531,170.7,51.2,8.5,11,35.3,26.1,15.5,2.1,6.6,0.5
France,66624068,1708.5,508.6,102.5,123.7,214.2,137.2,347.5,27.3,75.9,5.3
Gabon,1930175,34.9,13.2,1.9,2.4,2.4,2.1,4.6,0.4,2.4,0.2
Gambia,1977590,37.2,13.8,2,2.1,2,3.4,4.8,0.2,2.8,0.2
Georgia,3717100,87.9,33,5.2,8.3,5.7,6.1,12.2,0.4,5.3,0.2
Germany,81686611,2265.3,694.4,119.8,154.5,328.3,171.5,420.3,56.7,100.8,5.6
Ghana,27582821,555.5,199.2,30.5,35.4,34.8,56.5,69.2,3.3,38.1,2.4
